"Series ID","Month","Value","Annual Percent Change"
"CUSR0000SA0","May 1, 2025","320.580","2.4"
"CUSR0000SA0","April 1, 2025","320.321","2.3"
"CUSR0000SA0","March 1, 2025","319.615","2.4"
"CUSR0000SA0","February 1, 2025","319.775","2.8"
"CUSR0000SA0","January 1, 2025","319.086","3.0"
"CUSR0000SA0","December 1, 2024","317.603","2.9"
"CUSR0000SA0","November 1, 2024","316.449","2.7"
"CUSR0000SA0","October 1, 2024","315.564","2.6"
"CUSR0000SA0","September 1, 2024","314.851","2.4"
"CUSR0000SA0","August 1, 2024","314.131","2.6"
"CUSR0000SA0","July 1, 2024","313.566","2.9"
"CUSR0000SA0","June 1, 2024","313.131","3.0"
"CUSR0000SA0","May 1, 2024","313.140","3.2"
"CUSR0000SA0","April 1, 2024","313.016","3.4"
"CUSR0000SA0","March 1, 2024","312.107","3.5"
"CUSR0000SA0","February 1, 2024","311.022","3.2"
"CUSR0000SA0","January 1, 2024","309.794","3.1"
"CUSR0000SA0","December 1, 2023","308.735","3.3"
"CUSR0000SA0","November 1, 2023","308.087","3.1"
"CUSR0000SA0","October 1, 2023","307.653","3.2"
"CUSR0000SA0","September 1, 2023","307.374","3.7"
"CUSR0000SA0","August 1, 2023","306.138","3.7"
"CUSR0000SA0","July 1, 2023","304.615","3.3"
"CUSR0000SA0","June 1, 2023","304.099","3.1"
"CUSR0000SA0","May 1, 2023","303.316","4.1"
"CUSR0000SA0","April 1, 2023","302.858","4.9"
"CUSR0000SA0","March 1, 2023","301.643","4.9"
"CUSR0000SA0","February 1, 2023","301.476","6.0"
"CUSR0000SA0","January 1, 2023","300.456","6.3"
"CUSR0000SA0","December 1, 2022","298.808","6.4"
"CUSR0000SA0","November 1, 2022","298.708","7.1"
"CUSR0000SA0","October 1, 2022","297.979","7.8"
"CUSR0000SA0","September 1, 2022","296.421","8.2"
"CUSR0000SA0","August 1, 2022","295.162","8.2"
"CUSR0000SA0","July 1, 2022","294.940","8.4"
"CUSR0000SA0","June 1, 2022","295.072","9.0"
"CUSR0000SA0","May 1, 2022","291.299","8.5"
"CUSR0000SA0","April 1, 2022","288.582","8.2"
"CUSR0000SA0","March 1, 2022","287.467","8.5"
"CUSR0000SA0","February 1, 2022","284.525","7.9"
"CUSR0000SA0","January 1, 2022","282.542","7.6"
"CUSR0000SA0","December 1, 2021","280.806","7.2"
"CUSR0000SA0","November 1, 2021","278.824","6.9"
"CUSR0000SA0","October 1, 2021","276.528","6.2"
"CUSR0000SA0","September 1, 2021","273.942","5.4"
"CUSR0000SA0","August 1, 2021","272.752","5.2"
"CUSR0000SA0","July 1, 2021","271.965","5.3"
"CUSR0000SA0","June 1, 2021","270.710","5.3"
"CUSR0000SA0","May 1, 2021","268.404","4.9"
"CUSR0000SA0","April 1, 2021","266.625","4.1"
"CUSR0000SA0","March 1, 2021","264.847","2.6"
"CUSR0000SA0","February 1, 2021","263.573","1.7"
"CUSR0000SA0","January 1, 2021","262.639","1.4"
"CUSR0000SA0","December 1, 2020","262.045","1.3"
"CUSR0000SA0","November 1, 2020","260.911","1.2"
"CUSR0000SA0","October 1, 2020","260.319","1.2"
"CUSR0000SA0","September 1, 2020","259.997","1.4"
"CUSR0000SA0","August 1, 2020","259.316","1.3"
"CUSR0000SA0","July 1, 2020","258.352","1.0"
"CUSR0000SA0","June 1, 2020","257.042","0.7"
"CUSR0000SA0","May 1, 2020","255.802","0.2"
"CUSR0000SA0","April 1, 2020","256.032","0.3"
"CUSR0000SA0","March 1, 2020","258.076","1.5"
"CUSR0000SA0","February 1, 2020","259.250","2.3"
"CUSR0000SA0","January 1, 2020","259.127","2.6"
"CUSR0000SA0","December 1, 2019","258.630","2.3"
"CUSR0000SA0","November 1, 2019","257.879","2.1"
"CUSR0000SA0","October 1, 2019","257.155","1.7"
"CUSR0000SA0","September 1, 2019","256.430","1.7"
"CUSR0000SA0","August 1, 2019","256.036","1.7"
"CUSR0000SA0","July 1, 2019","255.802","1.8"
"CUSR0000SA0","June 1, 2019","255.213","1.7"
"CUSR0000SA0","May 1, 2019","255.296","1.8"
"CUSR0000SA0","April 1, 2019","255.233","2.0"
"CUSR0000SA0","March 1, 2019","254.277","1.9"
"CUSR0000SA0","February 1, 2019","253.319","1.5"
"CUSR0000SA0","January 1, 2019","252.561","1.5"
"CUSR0000SETB01","May 1, 2025","269.189","-12.0"
"CUSR0000SETB01","April 1, 2025","276.510","-11.8"
"CUSR0000SETB01","March 1, 2025","276.765","-9.8"
"CUSR0000SETB01","February 1, 2025","295.226","-3.1"
"CUSR0000SETB01","January 1, 2025","298.080","-0.2"
"CUSR0000SETB01","December 1, 2024","292.942","-3.3"
"CUSR0000SETB01","November 1, 2024","281.613","-8.1"
"CUSR0000SETB01","October 1, 2024","280.807","-12.2"
"CUSR0000SETB01","September 1, 2024","283.588","-15.2"
"CUSR0000SETB01","August 1, 2024","290.345","-10.4"
"CUSR0000SETB01","July 1, 2024","293.814","-2.3"
"CUSR0000SETB01","June 1, 2024","296.475","-2.4"
"CUSR0000SETB01","May 1, 2024","305.733","2.3"
"CUSR0000SETB01","April 1, 2024","313.349","1.0"
"CUSR0000SETB01","March 1, 2024","306.743","0.8"
"CUSR0000SETB01","February 1, 2024","304.623","-3.9"
"CUSR0000SETB01","January 1, 2024","298.595","-6.0"
"CUSR0000SETB01","December 1, 2023","302.868","-1.7"
"CUSR0000SETB01","November 1, 2023","306.352","-8.6"
"CUSR0000SETB01","October 1, 2023","319.829","-5.2"
"CUSR0000SETB01","September 1, 2023","334.484","3.1"
"CUSR0000SETB01","August 1, 2023","324.015","-3.6"
"CUSR0000SETB01","July 1, 2023","300.583","-20.1"
"CUSR0000SETB01","June 1, 2023","303.728","-26.5"
"CUSR0000SETB01","May 1, 2023","298.880","-19.6"
"CUSR0000SETB01","April 1, 2023","310.282","-12.3"
"CUSR0000SETB01","March 1, 2023","304.286","-17.7"
"CUSR0000SETB01","February 1, 2023","317.123","-2.0"
"CUSR0000SETB01","January 1, 2023","317.691","1.8"
"CUSR0000SETB01","December 1, 2022","308.143","-1.3"
"CUSR0000SETB01","November 1, 2022","335.333","10.6"
