,Series ID,Date,Value,Annual Percent Change
0,CUSR0000SA0,2025-06-01,321.5,2.7
1,CUSR0000SA0,2025-05-01,320.58,2.4
2,CUSR0000SA0,2025-04-01,320.321,2.3
3,CUSR0000SA0,2025-03-01,319.615,2.4
4,CUSR0000SA0,2025-02-01,319.775,2.8
5,CUSR0000SA0,2025-01-01,319.086,3.0
6,CUSR0000SA0,2024-12-01,317.603,2.9
7,CUSR0000SA0,2024-11-01,316.449,2.7
8,CUSR0000SA0,2024-10-01,315.564,2.6
9,CUSR0000SA0,2024-09-01,314.851,2.4
10,CUSR0000SA0,2024-08-01,314.131,2.6
11,CUSR0000SA0,2024-07-01,313.566,2.9
12,CUSR0000SA0,2024-06-01,313.131,3.0
13,CUSR0000SA0,2024-05-01,313.14,3.2
14,CUSR0000SA0,2024-04-01,313.016,3.4
15,CUSR0000SA0,2024-03-01,312.107,3.5
16,CUSR0000SA0,2024-02-01,311.022,3.2
17,CUSR0000SA0,2024-01-01,309.794,3.1
18,CUSR0000SA0,2023-12-01,308.735,3.3
19,CUSR0000SA0,2023-11-01,308.087,3.1
20,CUSR0000SA0,2023-10-01,307.653,3.2
21,CUSR0000SA0,2023-09-01,307.374,3.7
22,CUSR0000SA0,2023-08-01,306.138,3.7
23,CUSR0000SA0,2023-07-01,304.615,3.3
24,CUSR0000SA0,2023-06-01,304.099,3.1
25,CUSR0000SA0,2023-05-01,303.316,4.1
26,CUSR0000SA0,2023-04-01,302.858,4.9
27,CUSR0000SA0,2023-03-01,301.643,4.9
28,CUSR0000SA0,2023-02-01,301.476,6.0
29,CUSR0000SA0,2023-01-01,300.456,6.3
30,CUSR0000SA0,2022-12-01,298.808,6.4
31,CUSR0000SA0,2022-11-01,298.708,7.1
32,CUSR0000SA0,2022-10-01,297.979,7.8
33,CUSR0000SA0,2022-09-01,296.421,8.2
34,CUSR0000SA0,2022-08-01,295.162,8.2
35,CUSR0000SA0,2022-07-01,294.94,8.4
36,CUSR0000SA0,2022-06-01,295.072,9.0
37,CUSR0000SA0,2022-05-01,291.299,8.5
38,CUSR0000SA0,2022-04-01,288.582,8.2
39,CUSR0000SA0,2022-03-01,287.467,8.5
40,CUSR0000SA0,2022-02-01,284.525,7.9
41,CUSR0000SA0,2022-01-01,282.542,7.6
42,CUSR0000SA0,2021-12-01,280.806,7.2
43,CUSR0000SA0,2021-11-01,278.824,6.9
44,CUSR0000SA0,2021-10-01,276.528,6.2
45,CUSR0000SA0,2021-09-01,273.942,5.4
46,CUSR0000SA0,2021-08-01,272.752,5.2
47,CUSR0000SA0,2021-07-01,271.965,5.3
48,CUSR0000SA0,2021-06-01,270.71,5.3
49,CUSR0000SA0,2021-05-01,268.404,4.9
50,CUSR0000SA0,2021-04-01,266.625,4.1
51,CUSR0000SA0,2021-03-01,264.847,2.6
52,CUSR0000SA0,2021-02-01,263.573,1.7
53,CUSR0000SA0,2021-01-01,262.639,1.4
54,CUSR0000SA0,2020-12-01,262.045,1.3
55,CUSR0000SA0,2020-11-01,260.911,1.2
56,CUSR0000SA0,2020-10-01,260.319,1.2
57,CUSR0000SA0,2020-09-01,259.997,1.4
58,CUSR0000SA0,2020-08-01,259.316,1.3
59,CUSR0000SA0,2020-07-01,258.352,1.0
60,CUSR0000SA0,2020-06-01,257.042,0.7
61,CUSR0000SA0,2020-05-01,255.802,0.2
62,CUSR0000SA0,2020-04-01,256.032,0.3
63,CUSR0000SA0,2020-03-01,258.076,1.5
64,CUSR0000SA0,2020-02-01,259.25,2.3
65,CUSR0000SA0,2020-01-01,259.127,2.6
66,CUSR0000SA0,2019-12-01,258.63,2.3
67,CUSR0000SA0,2019-11-01,257.879,2.1
68,CUSR0000SA0,2019-10-01,257.155,1.7
69,CUSR0000SA0,2019-09-01,256.43,1.7
70,CUSR0000SA0,2019-08-01,256.036,1.7
71,CUSR0000SA0,2019-07-01,255.802,1.8
72,CUSR0000SA0,2019-06-01,255.213,1.7
73,CUSR0000SA0,2019-05-01,255.296,1.8
74,CUSR0000SA0,2019-04-01,255.233,2.0
75,CUSR0000SA0,2019-03-01,254.277,1.9
76,CUSR0000SA0,2019-02-01,253.319,1.5
77,CUSR0000SA0,2019-01-01,252.561,1.5
78,CUSR0000SA0,2018-12-01,252.767,2.0
79,CUSR0000SA0,2018-11-01,252.594,2.1
80,CUSR0000SA0,2018-10-01,252.772,2.5
81,CUSR0000SA0,2018-09-01,252.182,2.3
82,CUSR0000SA0,2018-08-01,251.663,2.6
