,Series ID,Year,Value,Annual Percent Change
0,PCU321991321991,June 1 2025,496.743,1.2
1,PCU321991321991,May 1 2025,496.546,1.0
2,PCU321991321991,April 1 2025,496.478,1.4
3,PCU321991321991,March 1 2025,492.503,1.8
4,PCU321991321991,February 1 2025,491.403,1.6
5,PCU321991321991,January 1 2025,490.931,1.7
6,PCU321991321991,December 1 2024,490.654,1.6
7,PCU321991321991,November 1 2024,490.59,1.6
8,PCU321991321991,October 1 2024,490.578,1.7
9,PCU321991321991,September 1 2024,489.962,1.6
10,PCU321991321991,August 1 2024,490.042,0.5
11,PCU321991321991,July 1 2024,490.921,-0.3
12,PCU321991321991,June 1 2024,490.921,-0.3
13,PCU321991321991,May 1 2024,491.396,-0.1
14,PCU321991321991,April 1 2024,489.572,0.0
15,PCU321991321991,March 1 2024,483.814,-1.2
16,PCU321991321991,February 1 2024,483.718,-1.4
17,PCU321991321991,January 1 2024,482.795,-2.2
18,PCU321991321991,December 1 2023,482.732,-3.6
19,PCU321991321991,November 1 2023,482.732,-3.6
20,PCU321991321991,October 1 2023,482.29,-4.0
21,PCU321991321991,September 1 2023,482.29,-4.7
22,PCU321991321991,August 1 2023,487.735,-4.6
23,PCU321991321991,July 1 2023,492.253,-4.9
24,PCU321991321991,June 1 2023,492.54,-4.6
25,PCU321991321991,May 1 2023,491.751,-3.8
26,PCU321991321991,April 1 2023,489.585,-3.7
27,PCU321991321991,March 1 2023,489.585,-3.1
28,PCU321991321991,February 1 2023,490.669,0.0
29,PCU321991321991,January 1 2023,493.872,3.2
30,PCU321991321991,December 1 2022,500.587,7.6
31,PCU321991321991,November 1 2022,500.76,11.7
32,PCU321991321991,October 1 2022,502.517,12.2
33,PCU321991321991,September 1 2022,506.287,14.9
34,PCU321991321991,August 1 2022,511.189,16.0
35,PCU321991321991,July 1 2022,517.59,17.6
36,PCU321991321991,June 1 2022,516.239,19.2
37,PCU321991321991,May 1 2022,511.35,21.3
38,PCU321991321991,April 1 2022,508.329,25.3
39,PCU321991321991,March 1 2022,505.23,31.1
40,PCU321991321991,February 1 2022,490.47,31.5
41,PCU321991321991,January 1 2022,478.651,31.3
42,PCU321991321991,December 1 2021,465.206,29.4
43,PCU321991321991,November 1 2021,448.358,24.6
44,PCU321991321991,October 1 2021,447.733,25.2
45,PCU321991321991,September 1 2021,440.55,25.0
46,PCU321991321991,August 1 2021,440.55,29.6
47,PCU321991321991,July 1 2021,440.205,31.5
48,PCU321991321991,June 1 2021,433.0,29.0
49,PCU321991321991,May 1 2021,421.6,25.6
50,PCU321991321991,April 1 2021,405.8,21.2
51,PCU321991321991,March 1 2021,385.4,15.8
52,PCU321991321991,February 1 2021,373.0,12.9
53,PCU321991321991,January 1 2021,364.6,10.3
54,PCU321991321991,December 1 2020,359.6,9.0
55,PCU321991321991,November 1 2020,359.8,9.5
56,PCU321991321991,October 1 2020,357.7,8.9
57,PCU321991321991,September 1 2020,352.3,7.1
58,PCU321991321991,August 1 2020,339.9,3.3
59,PCU321991321991,July 1 2020,334.8,1.8
60,PCU321991321991,June 1 2020,335.7,1.8
61,PCU321991321991,May 1 2020,335.6,1.8
62,PCU321991321991,April 1 2020,334.9,1.6
63,PCU321991321991,March 1 2020,332.9,9.5
64,PCU321991321991,February 1 2020,330.3,9.1
65,PCU321991321991,January 1 2020,330.7,9.2
66,PCU321991321991,December 1 2019,329.8,8.3
67,PCU321991321991,November 1 2019,328.6,8.0
68,PCU321991321991,October 1 2019,328.6,7.0
69,PCU321991321991,September 1 2019,328.8,7.1
70,PCU321991321991,August 1 2019,328.9,6.8
71,PCU321991321991,July 1 2019,328.8,6.9
72,PCU321991321991,June 1 2019,329.7,8.9
73,PCU321991321991,May 1 2019,329.8,9.4
74,PCU321991321991,April 1 2019,329.7,10.5
75,PCU321991321991,March 1 2019,303.9,2.3
76,PCU321991321991,February 1 2019,302.8,2.2
77,PCU321991321991,January 1 2019,302.8,2.5
78,PCU321991321991,December 1 2018,304.5,3.5
79,PCU321991321991,November 1 2018,304.2,4.4
80,PCU321991321991,October 1 2018,307.0,4.8
81,PCU321991321991,September 1 2018,307.0,5.6
82,PCU321991321991,August 1 2018,308.0,7.5
83,PCU321991321991,July 1 2018,307.6,7.4
84,PCU321991321991,June 1 2018,302.7,6.0
85,PCU321991321991,May 1 2018,301.4,5.9
86,PCU321991321991,April 1 2018,298.3,5.3
87,PCU321991321991,March 1 2018,297.0,6.0
88,PCU321991321991,February 1 2018,296.4,6.2
89,PCU321991321991,January 1 2018,295.4,6.1
90,PCU321991321991,December 1 2017,294.1,5.8
91,PCU321991321991,November 1 2017,291.5,4.7
92,PCU321991321991,October 1 2017,293.0,5.5
93,PCU321991321991,September 1 2017,290.8,4.8
94,PCU321991321991,August 1 2017,286.5,3.3
95,PCU321991321991,July 1 2017,286.3,3.4
96,PCU321991321991,June 1 2017,285.6,3.3
97,PCU321991321991,May 1 2017,284.5,2.9
98,PCU321991321991,April 1 2017,283.2,2.5
99,PCU321991321991,March 1 2017,280.2,1.5
100,PCU321991321991,February 1 2017,279.0,1.1
101,PCU321991321991,January 1 2017,278.3,0.8
102,PCU321991321991,December 1 2016,278.1,0.9
103,PCU321991321991,November 1 2016,278.4,1.0
104,PCU321991321991,October 1 2016,277.7,0.8
105,PCU321991321991,September 1 2016,277.5,1.1
106,PCU321991321991,August 1 2016,277.4,1.1
107,PCU321991321991,July 1 2016,276.9,0.8
108,PCU321991321991,June 1 2016,276.6,0.8
109,PCU321991321991,May 1 2016,276.4,0.8
110,PCU321991321991,April 1 2016,276.2,0.8
