,Series ID,Date,Value,Annual Percent Change
0,PCU321991321991,2025-07-01,494.781,0.8
1,PCU321991321991,2025-06-01,496.743,1.2
2,PCU321991321991,2025-05-01,496.546,1.0
3,PCU321991321991,2025-04-01,496.478,1.4
4,PCU321991321991,2025-03-01,492.503,1.8
5,PCU321991321991,2025-02-01,491.403,1.6
6,PCU321991321991,2025-01-01,490.931,1.7
7,PCU321991321991,2024-12-01,490.654,1.6
8,PCU321991321991,2024-11-01,490.59,1.6
9,PCU321991321991,2024-10-01,490.578,1.7
10,PCU321991321991,2024-09-01,489.962,1.6
11,PCU321991321991,2024-08-01,490.042,0.5
12,PCU321991321991,2024-07-01,490.921,-0.3
13,PCU321991321991,2024-06-01,490.921,-0.3
14,PCU321991321991,2024-05-01,491.396,-0.1
15,PCU321991321991,2024-04-01,489.572,0.0
16,PCU321991321991,2024-03-01,483.814,-1.2
17,PCU321991321991,2024-02-01,483.718,-1.4
18,PCU321991321991,2024-01-01,482.795,-2.2
19,PCU321991321991,2023-12-01,482.732,-3.6
20,PCU321991321991,2023-11-01,482.732,-3.6
21,PCU321991321991,2023-10-01,482.29,-4.0
22,PCU321991321991,2023-09-01,482.29,-4.7
23,PCU321991321991,2023-08-01,487.735,-4.6
24,PCU321991321991,2023-07-01,492.253,-4.9
25,PCU321991321991,2023-06-01,492.54,-4.6
26,PCU321991321991,2023-05-01,491.751,-3.8
27,PCU321991321991,2023-04-01,489.585,-3.7
28,PCU321991321991,2023-03-01,489.585,-3.1
29,PCU321991321991,2023-02-01,490.669,0.0
30,PCU321991321991,2023-01-01,493.872,3.2
31,PCU321991321991,2022-12-01,500.587,7.6
32,PCU321991321991,2022-11-01,500.76,11.7
33,PCU321991321991,2022-10-01,502.517,12.2
34,PCU321991321991,2022-09-01,506.287,14.9
35,PCU321991321991,2022-08-01,511.189,16.0
36,PCU321991321991,2022-07-01,517.59,17.6
37,PCU321991321991,2022-06-01,516.239,19.2
38,PCU321991321991,2022-05-01,511.35,21.3
39,PCU321991321991,2022-04-01,508.329,25.3
40,PCU321991321991,2022-03-01,505.23,31.1
41,PCU321991321991,2022-02-01,490.47,31.5
42,PCU321991321991,2022-01-01,478.651,31.3
43,PCU321991321991,2021-12-01,465.206,29.4
44,PCU321991321991,2021-11-01,448.358,24.6
45,PCU321991321991,2021-10-01,447.733,25.2
46,PCU321991321991,2021-09-01,440.55,25.0
47,PCU321991321991,2021-08-01,440.55,29.6
