,Series ID,Year,Value
0,IPUCN2211__T051000000,2024,2.4
1,IPUCN2211__T051000000,2023,3.6
2,IPUCN2211__T051000000,2022,12.0
3,IPUCN2211__T051000000,2021,5.7
4,IPUCN2211__T051000000,2020,-0.3
5,IPUCN2211__T051000000,2019,0.3
6,IPUCN2211__T051000000,2018,-0.1
7,IPUCN2211__T051000000,2017,2.3
8,IPUCN2211__T051000000,2016,-1.6
9,IPUCN2211__T051000000,2015,-0.5
10,IPUCN2211__T011000000,2024,0.4
11,IPUCN2211__T011000000,2023,-3.3
12,IPUCN2211__T011000000,2022,1.4
13,IPUCN2211__T011000000,2021,1.9
14,IPUCN2211__T011000000,2020,-2.2
15,IPUCN2211__T011000000,2019,-0.1
16,IPUCN2211__T011000000,2018,2.0
17,IPUCN2211__T011000000,2017,-1.6
18,IPUCN2211__T011000000,2016,1.2
19,IPUCN2211__T011000000,2015,-0.9
