"Series ID","Year","Value"
"IPUCN2211__T051000000","2024","2.4"
"IPUCN2211__T051000000","2023","3.6"
"IPUCN2211__T051000000","2022","12.0"
"IPUCN2211__T051000000","2021","5.7"
"IPUCN2211__T051000000","2020","-0.3"
"IPUCN2211__T051000000","2019","0.3"
"IPUCN2211__T051000000","2018","-0.1"
"IPUCN2211__T051000000","2017","2.3"
"IPUCN2211__T051000000","2016","-1.6"
"IPUCN2211__T051000000","2015","-0.5"
"IPUCN2211__T011000000","2024","0.4"
"IPUCN2211__T011000000","2023","-3.3"
"IPUCN2211__T011000000","2022","1.4"
"IPUCN2211__T011000000","2021","1.9"
"IPUCN2211__T011000000","2020","-2.2"
"IPUCN2211__T011000000","2019","-0.1"
"IPUCN2211__T011000000","2018","2.0"
"IPUCN2211__T011000000","2017","-1.6"
"IPUCN2211__T011000000","2016","1.2"
"IPUCN2211__T011000000","2015","-0.9"
