,Series ID,Date,Value,Annual Percent Change
0,CES0500000003,2025-08-01,36.53,3.7
1,CES0500000003,2025-07-01,36.43,3.9
2,CES0500000003,2025-06-01,36.31,3.7
3,CES0500000003,2025-05-01,36.23,3.8
4,CES0500000003,2025-04-01,36.08,3.8
5,CES0500000003,2025-03-01,36.02,3.9
6,CES0500000003,2025-02-01,35.9,3.9
7,CES0500000003,2025-01-01,35.83,3.9
8,CES0500000003,2024-12-01,35.68,4.0
9,CES0500000003,2024-11-01,35.61,4.2
10,CES0500000003,2024-10-01,35.48,4.1
11,CES0500000003,2024-09-01,35.33,3.9
12,CES0500000003,2024-08-01,35.23,4.0
13,CES0500000003,2024-07-01,35.07,3.6
14,CES0500000003,2024-06-01,35.0,3.9
15,CES0500000003,2024-05-01,34.89,4.1
16,CES0500000003,2024-04-01,34.75,4.0
17,CES0500000003,2024-03-01,34.67,4.2
18,CES0500000003,2024-02-01,34.54,4.2
19,CES0500000003,2024-01-01,34.47,4.3
20,CES0500000003,2023-12-01,34.31,4.1
21,CES0500000003,2023-11-01,34.19,4.1
22,CES0500000003,2023-10-01,34.07,4.2
23,CES0500000003,2023-09-01,33.99,4.4
24,CES0500000003,2023-08-01,33.89,4.5
25,CES0500000003,2023-07-01,33.84,4.6
26,CES0500000003,2023-06-01,33.69,4.6
27,CES0500000003,2023-05-01,33.52,4.4
28,CES0500000003,2023-04-01,33.42,4.6
29,CES0500000003,2023-03-01,33.28,4.6
30,CES0500000003,2023-02-01,33.16,4.7
31,CES0500000003,2023-01-01,33.05,4.5
32,CES0500000003,2022-12-01,32.96,4.9
33,CES0500000003,2022-11-01,32.84,5.1
34,CES0500000003,2022-10-01,32.7,5.0
35,CES0500000003,2022-09-01,32.55,5.1
36,CES0500000003,2022-08-01,32.44,5.4
37,CES0500000003,2022-07-01,32.35,5.5
38,CES0500000003,2022-06-01,32.2,5.4
39,CES0500000003,2022-05-01,32.1,5.6
40,CES0500000003,2022-04-01,31.96,5.7
41,CES0500000003,2022-03-01,31.82,5.9
42,CES0500000003,2022-02-01,31.66,5.3
43,CES0500000003,2022-01-01,31.62,5.7
44,CES0500000003,2021-12-01,31.41,5.0
45,CES0500000003,2021-11-01,31.25,5.4
46,CES0500000003,2021-10-01,31.15,5.4
47,CES0500000003,2021-09-01,30.96,4.9
48,CES0500000003,2021-08-01,30.79,4.4
49,CES0500000003,2021-07-01,30.66,4.3
50,CES0500000003,2021-06-01,30.55,4.0
51,CES0500000003,2021-05-01,30.41,2.3
52,CES0500000003,2021-04-01,30.23,0.6
53,CES0500000003,2021-03-01,30.04,4.5
54,CES0500000003,2021-02-01,30.07,5.4
55,CES0500000003,2021-01-01,29.92,5.2
56,CES0500000003,2020-12-01,29.91,5.4
57,CES0500000003,2020-11-01,29.64,4.6
58,CES0500000003,2020-10-01,29.55,4.7
59,CES0500000003,2020-09-01,29.51,4.8
60,CES0500000003,2020-08-01,29.5,4.8
61,CES0500000003,2020-07-01,29.39,4.9
62,CES0500000003,2020-06-01,29.38,5.1
63,CES0500000003,2020-05-01,29.72,6.6
64,CES0500000003,2020-04-01,30.04,8.1
65,CES0500000003,2020-03-01,28.74,3.5
66,CES0500000003,2020-02-01,28.54,3.1
67,CES0500000003,2020-01-01,28.43,3.0
68,CES0500000003,2019-12-01,28.38,3.0
69,CES0500000003,2019-11-01,28.34,3.3
70,CES0500000003,2019-10-01,28.23,3.1
71,CES0500000003,2019-09-01,28.16,3.1
72,CES0500000003,2019-08-01,28.14,3.4
73,CES0500000003,2019-07-01,28.03,3.4
74,CES0500000003,2019-06-01,27.96,3.4
75,CES0500000003,2019-05-01,27.88,3.3
76,CES0500000003,2019-04-01,27.79,3.3
77,CES0500000003,2019-03-01,27.77,3.4
78,CES0500000003,2019-02-01,27.69,3.6
79,CES0500000003,2019-01-01,27.59,3.3
80,CES0500000003,2018-12-01,27.56,3.5
81,CES0500000003,2018-11-01,27.44,3.4
82,CES0500000003,2018-10-01,27.37,3.3
83,CES0500000003,2018-09-01,27.32,3.1
84,CES0500000003,2018-08-01,27.21,3.2
85,CES0500000003,2018-07-01,27.1,2.8
86,CES0500000003,2018-06-01,27.03,2.9
87,CES0500000003,2018-05-01,26.98,2.9
88,CES0500000003,2018-04-01,26.91,2.8
89,CES0500000003,2018-03-01,26.85,2.8
90,CES0500000003,2018-02-01,26.74,2.6
91,CES0500000003,2018-01-01,26.72,2.8
92,CES0500000003,2017-12-01,26.63,2.7
93,CES0500000003,2017-11-01,26.54,2.5
94,CES0500000003,2017-10-01,26.5,2.3
95,CES0500000003,2017-09-01,26.49,2.8
96,CES0500000003,2017-08-01,26.37,2.6
97,CES0500000003,2017-07-01,26.35,2.6
98,CES0500000003,2017-06-01,26.26,2.5
99,CES0500000003,2017-05-01,26.21,2.5
100,CES0500000003,2017-04-01,26.17,2.5
101,CES0500000003,2017-03-01,26.11,2.6
102,CES0500000003,2017-02-01,26.07,2.7
103,CES0500000003,2017-01-01,26.0,2.5
104,CES0500000003,2016-12-01,25.93,2.7
