"Month","Price (cents per kWh)","Usage (million kWh)","Output (thousand MWh)","dt","yr","datekey"
"2016-08","10.81","381192.32814","409695.03402","2016-08-01","2016","20160801"
"2016-09","10.68","336752.08609","351479.33284","2016-09-01","2016","20160901"
"2016-10","10.15","296680.67052","312939.72788","2016-10-01","2016","20161001"
"2016-11","10.1","277316.98036","297056.26276","2016-11-01","2016","20161101"
"2016-12","10.09","310722.22579","345336.87453","2016-12-01","2016","20161201"
"2017-01","10.13","318177.17905","344324.95166","2017-01-01","2017","20170101"
"2017-02","10.28","275777.13545","291043.31412","2017-02-01","2017","20170201"
"2017-03","10.28","291443.63704","319328.74211","2017-03-01","2017","20170301"
"2017-04","10.07","272801.15774","295354.24916","2017-04-01","2017","20170401"
"2017-05","10.34","291870.53765","323439.21668","2017-05-01","2017","20170501"
"2017-06","10.83","328582.61458","358514.31016","2017-06-01","2017","20170601"
"2017-07","10.95","367613.0216","404424.64581","2017-07-01","2017","20170701"
"2017-08","10.91","360262.61916","384730.58633","2017-08-01","2017","20170801"
"2017-09","10.86","321725.81017","335907.98312","2017-09-01","2017","20170901"
"2017-10","10.4","299539.47902","318662.27709","2017-10-01","2017","20171001"
"2017-11","10.28","283347.00055","308044.71631","2017-11-01","2017","20171101"
"2017-12","10.17","312215.78198","350407.86529","2017-12-01","2017","20171201"
"2018-01","10.41","344477.68735","373230.27968","2018-01-01","2018","20180101"
"2018-02","10.42","292732.28568","306894.21345","2018-02-01","2018","20180201"
"2018-03","10.34","296999.30431","321546.95371","2018-03-01","2018","20180301"
"2018-04","10.18","278467.98771","300756.44042","2018-04-01","2018","20180401"
"2018-05","10.35","303248.00751","338947.60558","2018-05-01","2018","20180501"
"2018-06","10.75","338082.98543","371885.76125","2018-06-01","2018","20180601"
"2018-07","10.99","375023.42713","411290.31965","2018-07-01","2018","20180701"
"2018-08","11.01","381130.62934","408027.7567","2018-08-01","2018","20180801"
"2018-09","10.66","337262.54868","356258.30168","2018-09-01","2018","20180901"
"2018-10","10.41","309113.58697","324931.94313","2018-10-01","2018","20181001"
"2018-11","10.35","290507.09977","322368.65684","2018-11-01","2018","20181101"
"2018-12","10.21","312139.71096","342139.11163","2018-12-01","2018","20181201"
"2019-01","10.24","328609.25104","359509.23411","2019-01-01","2019","20190101"
"2019-02","10.4","295797.69323","315026.48424","2019-02-01","2019","20190201"
"2019-03","10.34","301852.69315","326657.20759","2019-03-01","2019","20190301"
"2019-04","10.24","273899.83766","296662.56944","2019-04-01","2019","20190401"
"2019-05","10.38","296801.73615","330423.04767","2019-05-01","2019","20190501"
"2019-06","10.74","321461.60493","352988.0739","2019-06-01","2019","20190601"
"2019-07","11","376094.82072","410037.81039","2019-07-01","2019","20190701"
"2019-08","11.05","372574.08721","401429.69356","2019-08-01","2019","20190801"
"2019-09","10.82","340462.80117","360518.46825","2019-09-01","2019","20190901"
"2019-10","10.39","308241.20549","320351.88482","2019-10-01","2019","20191001"
"2019-11","10.38","285532.04149","315849.09204","2019-11-01","2019","20191101"
"2019-12","10.22","309822.6908","338401.6474","2019-12-01","2019","20191201"
"2020-01","10.22","315532.78974","341850.20573","2020-01-01","2020","20200101"
"2020-02","10.22","294659.40487","319550.11366","2020-02-01","2020","20200201"
"2020-03","10.21","289893.78032","309586.72327","2020-03-01","2020","20200301"
"2020-04","10.34","262400.56179","279583.26477","2020-04-01","2020","20200401"
"2020-05","10.39","274707.0812","304593.23748","2020-05-01","2020","20200501"
"2020-06","10.88","320055.72389","351744.93031","2020-06-01","2020","20200601"
"2020-07","11.06","379530.04105","409561.69982","2020-07-01","2020","20200701"
"2020-08","11.02","368884.50417","398279.69734","2020-08-01","2020","20200801"
"2020-09","10.99","322554.51332","333258.04764","2020-09-01","2020","20200901"
"2020-10","10.65","296876.57754","313531.27121","2020-10-01","2020","20201001"
"2020-11","10.38","277249.20095","301250.18091","2020-11-01","2020","20201101"
"2020-12","10.37","315330.30203","344346.09465","2020-12-01","2020","20201201"
"2021-01","10.29","321496.47552","349209.70891","2021-01-01","2021","20210101"
"2021-02","11.16","299698.03448","323899.52894","2021-02-01","2021","20210201"
"2021-03","10.84","295345.00171","311397.27585","2021-03-01","2021","20210301"
"2021-04","10.63","272778.6964","293307.94443","2021-04-01","2021","20210401"
"2021-05","10.69","290060.60198","320180.96143","2021-05-01","2021","20210501"
"2021-06","11.25","338415.38015","373856.47762","2021-06-01","2021","20210601"
"2021-07","11.45","373948.29907","405624.09062","2021-07-01","2021","20210701"
"2021-08","11.55","381039.30375","412864.76753","2021-08-01","2021","20210801"
"2021-09","11.59","336444.01047","347743.77489","2021-09-01","2021","20210901"
"2021-10","11.24","302127.47063","320201.77808","2021-10-01","2021","20211001"
"2021-11","11.14","287133.80021","314309.52061","2021-11-01","2021","20211101"
"2021-12","11.03","307387.1788","337103.56092","2021-12-01","2021","20211201"
"2022-01","11.24","338656.04633","373765.70458","2022-01-01","2022","20220101"
"2022-02","11.42","305863.07052","324310.77193","2022-02-01","2022","20220201"
"2022-03","11.48","304300.02693","324530.48058","2022-03-01","2022","20220301"
"2022-04","11.56","284932.86674","303993.64888","2022-04-01","2022","20220401"
"2022-05","11.98","309696.95397","342183.64215","2022-05-01","2022","20220501"
"2022-06","12.75","347106.33234","379133.82357","2022-06-01","2022","20220601"
"2022-07","13.12","389214.17473","422974.98247","2022-07-01","2022","20220701"
"2022-08","13.44","389626.2823","412133.19484","2022-08-01","2022","20220801"
"2022-09","13.31","340543.84071","351654.94444","2022-09-01","2022","20220901"
"2022-10","12.66","297195.94414","313948.99137","2022-10-01","2022","20221001"
"2022-11","12.3","292257.74617","321780.34697","2022-11-01","2022","20221101"
"2022-12","12.4","327775.78446","360257.03143","2022-12-01","2022","20221201"
"2023-01","12.68","325414.64493","347950.30181","2023-01-01","2023","20230101"
"2023-02","12.67","292945.66208","310921.67662","2023-02-01","2023","20230201"
"2023-03","12.46","306453.94244","331704.47229","2023-03-01","2023","20230301"
"2023-04","12.16","280811.14791","301903.18038","2023-04-01","2023","20230401"
"2023-05","12.21","298705.56959","327473.93908","2023-05-01","2023","20230501"
"2023-06","12.72","328798.08365","359233.62938","2023-06-01","2023","20230601"
"2023-07","13.06","387256.1072","425454.53117","2023-07-01","2023","20230701"
"2023-08","13.27","392436.03404","422904.5213","2023-08-01","2023","20230801"
"2023-09","13.14","346476.44135","360489.55795","2023-09-01","2023","20230901"
"2023-10","12.67","308065.40868","326718.29157","2023-10-01","2023","20231001"
"2023-11","12.44","294248.48557","320784.75898","2023-11-01","2023","20231101"
"2023-12","12.34","312641.83476","347731.61847","2023-12-01","2023","20231201"
"2024-01","12.65","343716.52172","381121.90134","2024-01-01","2024","20240101"
"2024-02","12.66","303258.34281","322214.35031","2024-02-01","2024","20240201"
"2024-03","12.57","297278.27618","324938.09919","2024-03-01","2024","20240301"
"2024-04","12.54","286256.79709","310779.62346","2024-04-01","2024","20240401"
"2024-05","12.47","313961.45312","348485.15773","2024-05-01","2024","20240501"
"2024-06","13.14","355881.96752","391631.98811","2024-06-01","2024","20240601"
"2024-07","13.63","397872.58566","429316.64107","2024-07-01","2024","20240701"
"2024-08","13.48","394199.46181","423126.9238","2024-08-01","2024","20240801"
"2024-09","13.34","343070.70554","359396.57136","2024-09-01","2024","20240901"
"2024-10","12.96","315901.9817","333980.11831","2024-10-01","2024","20241001"
"2024-11","12.57","295796.04266","322350.87087","2024-11-01","2024","20241101"
"2024-12","12.82","328187.69582","361292.05161","2024-12-01","2024","20241201"
"2025-01","13.09","361981.07068","402345.40122","2025-01-01","2025","20250101"
"2025-02","13.18","320561.01323","338591.66991","2025-02-01","2025","20250201"
"2025-03","13.23","307241.25778","333628.94265","2025-03-01","2025","20250301"
"2025-04","13.09","294846.37543","320477.90475","2025-04-01","2025","20250401"
"2025-05","13.13","312488.73467","344033.96501","2025-05-01","2025","20250501"
"2025-06","13.86","357100.3815","393284.83316","2025-06-01","2025","20250601"
"2025-07","14.36","407629.71481","446319.52576","2025-07-01","2025","20250701"
"2025-08","14.22","392630.89766","420241.83475","2025-08-01","2025","20250801"
"2025-09","14.21","346202.16893","368144.84419","2025-09-01","2025","20250901"
"2025-10","13.66","320588.00988","345253.27074","2025-10-01","2025","20251001"
"2025-11","13.43","299021.80516","334985.60344","2025-11-01","2025","20251101"
"2025-12","13.73","337715.72686","382193.80755","2025-12-01","2025","20251201"
"2026-01","14.17","355940.17295","399529.18195","2026-01-01","2026","20260101"
"2026-02","14.36","323034.52279","342800.61492","2026-02-01","2026","20260201"
"2026-03","14.18","314308.22665","348756.32952","2026-03-01","2026","20260301"
"2026-04","13.88","302126.84443","330706.51949","2026-04-01","2026","20260401"
"2026-05","13.83","320096.36942","354690.52571","2026-05-01","2026","20260501"
