"Series ID","Date","Value","Annual Percent Change"
"LNS12000000","July 1 2025","163106","1.2"
"LNS12000000","June 1 2025","163366","1.4"
"LNS12000000","May 1 2025","163273","1.3"
"LNS12000000","April 1 2025","163969","1.5"
"LNS12000000","March 1 2025","163508","1.3"
"LNS12000000","February 1 2025","163307","1.4"
"LNS12000000","January 1 2025","163895","1.7"
"LNS12000000","December 1 2024","161661","0.3"
"LNS12000000","November 1 2024","161183","-0.4"
"LNS12000000","October 1 2024","161456","0.2"
"LNS12000000","September 1 2024","161802","0.2"
"LNS12000000","August 1 2024","161425","0.0"
"LNS12000000","July 1 2024","161219","0.0"
"LNS12000000","June 1 2024","161155","0.1"
"LNS12000000","May 1 2024","161164","0.2"
"LNS12000000","April 1 2024","161495","0.3"
"LNS12000000","March 1 2024","161425","0.4"
"LNS12000000","February 1 2024","161013","0.4"
"LNS12000000","January 1 2024","161190","0.6"
"LNS12000000","December 1 2023","161124","1.2"
"LNS12000000","November 1 2023","161886","2.1"
"LNS12000000","October 1 2023","161211","1.6"
"LNS12000000","September 1 2023","161442","1.7"
"LNS12000000","August 1 2023","161475","1.7"
"LNS12000000","July 1 2023","161183","1.8"
"LNS12000000","June 1 2023","160979","1.8"
"LNS12000000","May 1 2023","160796","1.5"
"LNS12000000","April 1 2023","160974","2.0"
"LNS12000000","March 1 2023","160812","1.6"
"LNS12000000","February 1 2023","160395","1.8"
"LNS12000000","January 1 2023","160217","2.0"
"LNS12000000","December 1 2022","159259","2.0"
"LNS12000000","November 1 2022","158507","1.9"
"LNS12000000","October 1 2022","158684","2.7"
"LNS12000000","September 1 2022","158810","3.2"
"LNS12000000","August 1 2022","158735","3.6"
"LNS12000000","July 1 2022","158258","3.6"
"LNS12000000","June 1 2022","158094","4.2"
"LNS12000000","May 1 2022","158378","4.5"
"LNS12000000","April 1 2022","157891","4.5"
"LNS12000000","March 1 2022","158206","5.0"
"LNS12000000","February 1 2022","157598","4.9"
"LNS12000000","January 1 2022","157115","4.8"
"LNS12000000","December 1 2021","156099","4.1"
"LNS12000000","November 1 2021","155530","3.7"
"LNS12000000","October 1 2021","154475","3.0"
"LNS12000000","September 1 2021","153843","4.2"
"LNS12000000","August 1 2021","153250","4.1"
"LNS12000000","July 1 2021","152773","6.3"
"LNS12000000","June 1 2021","151734","6.6"
"LNS12000000","May 1 2021","151535","10.5"
